id,icon,fr,en
presentation,seedling,Accueil,Home
taille,cut,Essai taille,Pruning test
variete,dna,Evaluation variétale,Cultivar test
savoirplus,book,Pour en savoir plus,To learn more
remerciements,heart,Remerciements ,Thanks
