annee;date;arbre;cultivar;nbfruit;masse
2010;07/01/2011;J2;Caro;5;1111,4
2010;03/05/2011;J2;Caro;1;528
2010;03/12/2010;B15;Cogshall;3;1005
2010;06/12/2010;B15;Cogshall;2;1140
2010;09/12/2010;B15;Cogshall;2;609,5
2010;13/12/2010;B15;Cogshall;13;3536,5
2010;16/12/2010;B15;Cogshall;6;2005,7
2010;21/12/2010;B15;Cogshall;21;6272,9
2010;23/12/2010;B15;Cogshall;2;693,7
2010;27/12/2010;B15;Cogshall;10;3201,2
2010;30/12/2010;B15;Cogshall;8;2216,1
2010;04/01/2011;B15;Cogshall;3;745,7
2010;07/01/2011;B15;Cogshall;3;1200,8
2010;11/01/2011;B15;Cogshall;4;1396,9
2010;14/01/2011;B15;Cogshall;4;1389,3
2010;18/01/2011;B15;Cogshall;3;938,6
2010;21/01/2011;B15;Cogshall;6;2377,7
2010;25/01/2011;B15;Cogshall;4;1580,3
2010;31/01/2011;B15;Cogshall;10;3210
2010;03/02/2011;B15;Cogshall;1;519
2010;06/12/2010;B3;Cogshall;6;1290
2010;13/12/2010;B3;Cogshall;1;365,1
2010;16/12/2010;B3;Cogshall;2;430
2010;21/12/2010;B3;Cogshall;2;476,8
2010;30/12/2010;B3;Cogshall;5;1983,7
2010;07/01/2011;B3;Cogshall;2;916,7
2010;11/01/2011;B3;Cogshall;6;1935
2010;14/01/2011;B3;Cogshall;6;2993,3
2010;18/01/2011;B3;Cogshall;6;2297,7
2010;21/01/2011;B3;Cogshall;6;2105,5
2010;25/01/2011;B3;Cogshall;11;4137,5
2010;31/01/2011;B3;Cogshall;11;3570
2010;03/02/2011;B3;Cogshall;2;925,7
2010;07/02/2011;B3;Cogshall;3;1693
2010;15/02/2011;B3;Cogshall;2;901
2010;01/03/2011;B3;Cogshall;1;191,8
2010;06/12/2010;B6;Cogshall;2;460
2010;16/12/2010;B6;Cogshall;1;357,6
2010;21/12/2010;B6;Cogshall;3;1048,6
2010;23/12/2010;B6;Cogshall;1;384,1
2010;27/12/2010;B6;Cogshall;5;1330,5
2010;30/12/2010;B6;Cogshall;9;3308,7
2010;04/01/2011;B6;Cogshall;11;5121,8
2010;07/01/2011;B6;Cogshall;10;3450,2
2010;11/01/2011;B6;Cogshall;17;5650,8
2010;14/01/2011;B6;Cogshall;10;3593,3
2010;18/01/2011;B6;Cogshall;16;5944,6
2010;21/01/2011;B6;Cogshall;4;1599,8
2010;25/01/2011;B6;Cogshall;8;2847,6
2010;31/01/2011;B6;Cogshall;8;2887
2010;03/02/2011;B6;Cogshall;9;3420,6
2010;07/02/2011;B6;Cogshall;5;1884,7
2010;16/11/2010;C16;Cogshall;2;601
2010;02/12/2010;C16;Cogshall;4;1167
2010;06/12/2010;C16;Cogshall;2;641,1
2010;09/12/2010;C16;Cogshall;7;2252,5
2010;13/12/2010;C16;Cogshall;17;5602,2
2010;16/12/2010;C16;Cogshall;9;2496,1
2010;21/12/2010;C16;Cogshall;3;1092,2
2010;21/12/2010;C16;Cogshall;5;2386,8
2010;21/12/2010;C16;Cogshall;4;1433,4
2010;23/12/2010;C16;Cogshall;1;140,5
2010;27/12/2010;C16;Cogshall;11;3813,5
2010;30/12/2010;C16;Cogshall;9;3465,8
2010;04/01/2011;C16;Cogshall;11;3921
2010;14/01/2011;C16;Cogshall;2;833,2
2010;22/02/2011;C16;Cogshall;1;554,3
2010;29/11/2010;D14;Cogshall;3;709
2010;03/12/2010;D14;Cogshall;2;548
2010;06/12/2010;D14;Cogshall;13;4110
2010;09/12/2010;D14;Cogshall;7;1938,8
2010;13/12/2010;D14;Cogshall;21;6420,4
2010;16/12/2010;D14;Cogshall;12;3940,1
2010;23/12/2010;D14;Cogshall;1;476,4
2010;27/12/2010;D14;Cogshall;12;3673,6
2010;30/12/2010;D14;Cogshall;2;613,2
2010;04/01/2011;D14;Cogshall;5;1837
2010;07/01/2011;D14;Cogshall;1;329,6
2010;11/01/2011;D14;Cogshall;1;547,5
2010;18/01/2011;D14;Cogshall;4;1549,5
2010;21/01/2011;D14;Cogshall;1;447,9
2010;18/02/2011;D14;Cogshall;1;505
2010;09/12/2010;E11;Cogshall;2;515,3
2010;13/12/2010;E11;Cogshall;2;514,2
2010;21/12/2010;E11;Cogshall;5;1393,4
2010;27/12/2010;E11;Cogshall;7;2467,9
2010;30/12/2010;E11;Cogshall;2;425,3
2010;04/01/2011;E11;Cogshall;2;654,4
2010;07/01/2011;E11;Cogshall;6;2363,2
2010;11/01/2011;E11;Cogshall;8;2907,4
2010;14/01/2011;E11;Cogshall;10;3523,5
2010;18/01/2011;E11;Cogshall;11;4730,9
2010;21/01/2011;E11;Cogshall;6;2230,7
2010;25/01/2011;E11;Cogshall;3;1331,4
2010;31/01/2011;E11;Cogshall;11;1917
2010;03/02/2011;E11;Cogshall;2;978
2010;29/11/2010;E14;Cogshall;3;733
2010;02/12/2010;E14;Cogshall;2;610
2010;06/12/2010;E14;Cogshall;3;930
2010;09/12/2010;E14;Cogshall;3;858,5
2010;13/12/2010;E14;Cogshall;3;956,4
2010;16/12/2010;E14;Cogshall;5;1682,1
2010;27/12/2010;E14;Cogshall;7;2096,8
2010;30/12/2010;E14;Cogshall;4;1173,8
2010;04/01/2011;E14;Cogshall;5;1630,7
2010;07/01/2011;E14;Cogshall;3;1135
2010;11/01/2011;E14;Cogshall;2;599,8
2010;14/01/2011;E14;Cogshall;5;1740,2
2010;18/01/2011;E14;Cogshall;8;3001,3
2010;21/01/2011;E14;Cogshall;14;6204,5
2010;25/01/2011;E14;Cogshall;7;3068,7
2010;03/02/2011;E14;Cogshall;2;880,6
2010;15/02/2011;E14;Cogshall;1;355
2010;06/12/2010;E2;Cogshall;1;260
2010;13/12/2010;E2;Cogshall;2;748,7
2010;16/12/2010;E2;Cogshall;1;443,5
2010;21/12/2010;E2;Cogshall;10;3411,3
2010;27/12/2010;E2;Cogshall;8;2196,3
2010;30/12/2010;E2;Cogshall;11;4312
2010;04/01/2011;E2;Cogshall;4;1459,9
2010;11/01/2011;E2;Cogshall;1;345,2
2010;14/01/2011;E2;Cogshall;5;1700,1
2010;18/01/2011;E2;Cogshall;1;340,3
2010;21/01/2011;E2;Cogshall;6;2823,7
2010;25/01/2011;E2;Cogshall;14;5734
2010;31/01/2011;E2;Cogshall;5;2033
2010;03/02/2011;E2;Cogshall;2;937
2010;07/02/2011;E2;Cogshall;2;880
2010;18/02/2011;E2;Cogshall;1;495
2010;22/02/2011;E2;Cogshall;1;489,3
2010;05/03/2011;E2;Cogshall;1;326,9
2010;13/12/2010;F7;Cogshall;1;280,1
2010;16/12/2010;F7;Cogshall;2;376,5
2010;21/12/2010;F7;Cogshall;53;8589,4
2010;23/12/2010;F7;Cogshall;1;228
2010;27/12/2010;F7;Cogshall;4;1286
2010;30/12/2010;F7;Cogshall;9;3124,3
2010;04/01/2011;F7;Cogshall;6;1845
2010;07/01/2011;F7;Cogshall;6;2062,7
2010;11/01/2011;F7;Cogshall;7;2314,5
2010;14/01/2011;F7;Cogshall;7;2519,2
2010;18/01/2011;F7;Cogshall;12;4259,7
2010;21/01/2011;F7;Cogshall;2;834,8
2010;25/01/2011;F7;Cogshall;14;5250,4
